index,date,open,high,low,close,volume,marketcap
810,"Aug 29, 2019",9756.79,9756.79,9421.63,9510.2,17045878501.0,170274910132.0
811,"Aug 28, 2019",10203.43,10279.37,9716.66,9754.42,17603790323.0,174627460400.0
812,"Aug 27, 2019",10372.83,10381.33,10087.3,10185.5,14762609503.0,182325540955.0
813,"Aug 26, 2019",10126.3,10512.33,10126.3,10370.82,18438654080.0,185625235889.0
814,"Aug 25, 2019",10160.74,10304.62,10008.79,10138.52,14153856610.0,181450186164.0
815,"Aug 24, 2019",10407.64,10418.02,9982.3,10159.96,15451030650.0,181813631752.0
816,"Aug 23, 2019",10136.31,10442.44,10078.19,10407.97,15627023886.0,186231409722.0
817,"Aug 22, 2019",10142.52,10233.0,9831.46,10131.06,17097508856.0,181257125783.0
818,"Aug 21, 2019",10764.57,10798.73,9962.72,10138.05,19473084768.0,181364502142.0
819,"Aug 20, 2019",10916.35,10947.04,10618.96,10763.23,15053082175.0,192530283565.0
820,"Aug 19, 2019",10350.28,10916.05,10313.2,10916.05,16038264603.0,195243306008.0
821,"Aug 18, 2019",10233.01,10487.07,10119.09,10345.81,12999813869.0,185022920955.0
822,"Aug 17, 2019",10358.72,10452.62,10086.7,10231.74,13778035685.0,182966857173.0
823,"Aug 16, 2019",10319.42,10524.35,9855.48,10374.34,20228207096.0,185500055339.0
824,"Aug 15, 2019",10038.42,10437.41,9675.32,10311.55,22899115082.0,184357666577.0
825,"Aug 14, 2019",10889.49,10889.56,10028.14,10051.7,19990838300.0,179692803424.0
826,"Aug 13, 2019",11385.05,11420.05,10830.33,10895.83,16681503537.0,194762696644.0
827,"Aug 12, 2019",11528.19,11528.19,11320.95,11382.62,13647198229.0,203441494985.0
828,"Aug 11, 2019",11349.74,11523.58,11248.29,11523.58,15774371518.0,205941632235.0
829,"Aug 10, 2019",11861.56,11915.66,11323.9,11354.02,18125355447.0,202890020455.0
830,"Aug 09, 2019",11953.47,11970.46,11709.75,11862.94,18339989960.0,211961319133.0
831,"Aug 08, 2019",11954.04,11979.42,11556.17,11966.41,19481591730.0,213788089212.0
832,"Aug 07, 2019",11476.19,12036.99,11433.7,11941.97,22194988641.0,213330426789.0
833,"Aug 06, 2019",11811.55,12273.82,11290.73,11478.17,23635107660.0,205023347814.0
834,"Aug 05, 2019",10960.74,11895.09,10960.74,11805.65,23875988832.0,210848822060.0
835,"Aug 04, 2019",10821.63,11009.21,10620.28,10970.18,16530894787.0,195907875403.0
836,"Aug 03, 2019",10519.28,10946.78,10503.5,10821.73,15352685061.0,193233960601.0
837,"Aug 02, 2019",10402.04,10657.95,10371.01,10518.17,17489094082.0,187791090996.0
838,"Aug 01, 2019",10077.44,10446.92,9922.02,10399.67,17165337858.0,185653203391.0
839,"Jul 31, 2019",9604.05,10085.63,9598.1,10085.63,16631520648.0,180028959603.0
840,"Jul 30, 2019",9522.33,9701.76,9437.34,9607.42,13829811132.0,171472452506.0
841,"Jul 29, 2019",9548.18,9681.65,9472.95,9519.15,13791445323.0,169880343827.0
842,"Jul 28, 2019",9491.63,9575.55,9252.3,9552.86,13738687093.0,170461958074.0
843,"Jul 27, 2019",9871.16,10167.32,9411.52,9477.68,16817809536.0,169099540423.0
844,"Jul 26, 2019",9913.13,9916.52,9717.98,9870.3,14495714483.0,176085968354.0
845,"Jul 25, 2019",9809.1,10154.25,9773.96,9911.84,15821952090.0,176806451137.0
846,"Jul 24, 2019",9887.73,9908.8,9614.31,9811.93,17398734322.0,175005760794.0
847,"Jul 23, 2019",10346.75,10346.75,9883.6,9900.77,17851916995.0,176572890702.0
848,"Jul 22, 2019",10596.95,10651.79,10154.92,10343.11,16334414913.0,184443440748.0
849,"Jul 21, 2019",10777.53,10841.89,10389.6,10599.11,17130580467.0,188987475962.0
850,"Jul 20, 2019",10525.82,11048.66,10451.28,10767.14,20206615155.0,191963691255.0
851,"Jul 19, 2019",10653.96,10716.98,10229.63,10530.73,20727426310.0,187725578628.0
852,"Jul 18, 2019",9698.5,10736.84,9376.8,10666.48,25187024648.0,190129918121.0
853,"Jul 17, 2019",9471.21,9963.13,9163.13,9693.8,24569921549.0,172777250515.0
854,"Jul 16, 2019",10896.65,10996.63,9448.11,9477.64,24151199070.0,168908640950.0
855,"Jul 15, 2019",10257.84,11052.77,9992.01,10895.09,25384047207.0,194147627475.0
856,"Jul 14, 2019",11381.02,11451.2,10234.58,10256.06,22486000001.0,182741933552.0
857,"Jul 13, 2019",11813.13,11841.96,10908.48,11392.38,21042616384.0,202968191001.0
858,"Jul 12, 2019",11354.3,11905.49,11179.14,11815.99,23534692797.0,210494417832.0
859,"Jul 11, 2019",12139.71,12144.62,11158.92,11358.66,28595327690.0,202324174692.0
860,"Jul 10, 2019",12571.54,13129.53,11710.98,12156.51,33627574244.0,216515999522.0
861,"Jul 09, 2019",12284.33,12779.13,12233.26,12573.81,28167921523.0,223928128583.0
862,"Jul 08, 2019",11446.6,12345.83,11393.37,12285.96,23482551458.0,218778355444.0
863,"Jul 07, 2019",11217.62,11541.62,11148.8,11450.85,19369044277.0,203881891346.0
864,"Jul 06, 2019",10982.54,11620.97,10982.54,11208.55,21092024306.0,199546110914.0
865,"Jul 05, 2019",11203.1,11395.66,10874.96,10978.46,23838480210.0,195424678267.0
866,"Jul 04, 2019",11972.72,12006.08,11166.57,11215.44,25920294033.0,199617404432.0
867,"Jul 03, 2019",10818.16,11968.08,10818.16,11961.27,30796494294.0,212867079175.0
868,"Jul 02, 2019",10588.68,10912.19,9737.88,10801.68,31015895223.0,192206536806.0
869,"Jul 01, 2019",10796.93,11206.44,10089.31,10583.13,29378589324.0,188297637574.0
870,"Jun 30, 2019",11931.99,12178.38,10799.01,10817.16,27256473494.0,192442065810.0
871,"Jun 29, 2019",12400.76,12400.91,11508.38,11959.37,29923961128.0,212739713110.0
872,"Jun 28, 2019",11162.17,12445.18,10914.49,12407.33,35087757766.0,220681459666.0
873,"Jun 27, 2019",13017.12,13311.14,10491.85,11182.81,39977475223.0,198878940964.0
874,"Jun 26, 2019",11778.58,13796.49,11755.6,13016.23,45105733173.0,231462117209.0
875,"Jun 25, 2019",11007.2,11790.92,11007.2,11790.92,24879684533.0,209647943360.0
876,"Jun 24, 2019",10853.74,11065.9,10610.43,11011.1,19271652365.0,195762668679.0
877,"Jun 23, 2019",10696.69,11246.14,10556.1,10855.37,20998326502.0,192970090355.0
878,"Jun 22, 2019",10175.92,11157.35,10107.04,10701.69,29995204861.0,190214124824.0
879,"Jun 21, 2019",9525.07,10144.56,9525.07,10144.56,20624008643.0,180293241528.0
